ano,geocod,regiao,nivel,quartil,renda_m2
2022,1920609,Miranda do Corvo,Concelho,2.º quartil,3.49
2022,1960906,Gouveia,Concelho,3.º quartil,3.49
2022,1941824,Vouzela,Concelho,2.º quartil,3.5
2022,1D31412,Golegã,Concelho,2.º quartil,3.5
2022,1C20213,Serpa,Concelho,2.º quartil,3.52
2022,2004201,Lagoa (R.A.A.),Concelho,1.º quartil,3.52
2022,1960907,Guarda,Concelho,2.º quartil,3.53
2022,1C20205,Beja,Concelho,1.º quartil,3.53
2022,1D3,Lezíria do Tejo,NUTS III,1.º quartil,3.53
2022,1D31403,Almeirim,Concelho,1.º quartil,3.54
2022,1D31416,Santarém,Concelho,1.º quartil,3.54
2022,1931010,Marinha Grande,Concelho,1.º quartil,3.55
2022,1D11001,Alcobaça,Concelho,1.º quartil,3.55
2022,11C1309,Paços de Ferreira,Concelho,2.º quartil,3.56
2022,1920607,Lousã,Concelho,2.º quartil,3.57
2022,1C40704,Estremoz,Concelho,2.º quartil,3.57
2022,1D,Oeste e Vale do Tejo,NUTS II,1.º quartil,3.57
2022,11A0109,Santa Maria da Feira,Concelho,1.º quartil,3.58
2022,1D31415,Salvaterra de Magos,Concelho,1.º quartil,3.58
2022,1950508,Proença-a-Nova,Concelho,3.º quartil,3.59
2022,11D1708,Peso da Régua,Concelho,2.º quartil,3.6
2022,1931003,Ansião,Concelho,2.º quartil,3.6
2022,1D11012,Óbidos,Concelho,1.º quartil,3.6
2022,1D21401,Abrantes,Concelho,2.º quartil,3.6
2022,1D21420,Vila Nova da Barquinha,Concelho,2.º quartil,3.6
2022,11A1318,Trofa,Concelho,1.º quartil,3.61
2022,195,Beira Baixa,NUTS III,2.º quartil,3.61
2022,1960910,Pinhel,Concelho,3.º quartil,3.62
2022,1C31207,Elvas,Concelho,2.º quartil,3.62
2022,1931016,Porto de Mós,Concelho,2.º quartil,3.63
2022,1C11501,Alcácer do Sal,Concelho,1.º quartil,3.63
2022,1D21418,Tomar,Concelho,1.º quartil,3.64
2022,1D11108,Lourinhã,Concelho,1.º quartil,3.65
2022,1D31407,Chamusca,Concelho,3.º quartil,3.65
2022,1111601,Arcos de Valdevez,Concelho,2.º quartil,3.66
2022,1960911,Sabugal,Concelho,3.º quartil,3.66
2022,1D21410,Entroncamento,Concelho,1.º quartil,3.67
2022,1D21411,Ferreira do Zêzere,Concelho,2.º quartil,3.67
2022,11D,Douro,NUTS III,2.º quartil,3.68
2022,1C40702,Arraiolos,Concelho,2.º quartil,3.68
2022,1D11011,Nazaré,Concelho,1.º quartil,3.68
2022,11C1311,Penafiel,Concelho,2.º quartil,3.69
2022,191,Região de Aveiro,NUTS III,1.º quartil,3.7
2022,1C20208,Ferreira do Alentejo,Concelho,2.º quartil,3.71
2022,1C31213,Ponte de Sor,Concelho,2.º quartil,3.71
2022,2004302,Vila da Praia da Vitória,Concelho,1.º quartil,3.72
2022,11C1302,Baião,Concelho,3.º quartil,3.73
2022,11,Norte,NUTS II,1.º quartil,3.74
2022,11B,Alto Tâmega e Barroso,NUTS III,2.º quartil,3.75
2022,11A0104,Arouca,Concelho,2.º quartil,3.76
2022,1D21413,Mação,Concelho,3.º quartil,3.76
2022,3003104,Machico,Concelho,1.º quartil,3.76
2022,11A0119,Vale de Cambra,Concelho,2.º quartil,3.79
2022,1D31406,Cartaxo,Concelho,1.º quartil,3.79
2022,2004203,Ponta Delgada,Concelho,1.º quartil,3.79
2022,11A1314,Santo Tirso,Concelho,2.º quartil,3.81
2022,11B1713,Vila Pouca de Aguiar,Concelho,3.º quartil,3.81
2022,1941823,Viseu,Concelho,1.º quartil,3.81
2022,1950502,Castelo Branco,Concelho,2.º quartil,3.81
2022,1C40711,Reguengos de Monsaraz,Concelho,2.º quartil,3.81
2022,3003101,Calheta (R.A.M.),Concelho,2.º quartil,3.81
2022,1120313,Vila Verde,Concelho,2.º quartil,3.82
2022,1921808,Mortágua,Concelho,3.º quartil,3.83
2022,11C1305,Lousada,Concelho,3.º quartil,3.84
2022,1111610,Vila Nova de Cerveira,Concelho,2.º quartil,3.85
2022,1500803,Aljezur,Concelho,1.º quartil,3.85
2022,1500812,São Brás de Alportel,Concelho,1.º quartil,3.85
2022,1910115,Ovar,Concelho,1.º quartil,3.85
2022,1941803,Castro Daire,Concelho,3.º quartil,3.85
2022,1C40703,Borba,Concelho,3.º quartil,3.85
2022,1920611,Oliveira do Hospital,Concelho,3.º quartil,3.87
2022,1C31214,Portalegre,Concelho,2.º quartil,3.87
2022,1910117,Sever do Vouga,Concelho,3.º quartil,3.88
2022,1941809,Nelas,Concelho,3.º quartil,3.88
2022,1920617,Vila Nova de Poiares,Concelho,3.º quartil,3.89
2022,1120306,Esposende,Concelho,1.º quartil,3.9
2022,11A0113,Oliveira de Azeméis,Concelho,2.º quartil,3.91
2022,11A0116,São João da Madeira,Concelho,1.º quartil,3.91
2022,1111605,Paredes de Coura,Concelho,3.º quartil,3.92
2022,1931015,Pombal,Concelho,2.º quartil,3.92
2022,1C11505,Grândola,Concelho,1.º quartil,3.92
2022,1D11112,Sobral de Monte Agraço,Concelho,1.º quartil,3.93
2022,1111606,Ponte da Barca,Concelho,3.º quartil,3.94
2022,1C1,Alentejo Litoral,NUTS III,1.º quartil,3.94
2022,1500809,Monchique,Concelho,2.º quartil,3.95
2022,1920610,Montemor-o-Velho,Concelho,2.º quartil,3.95
2022,1920616,Tábua,Concelho,3.º quartil,3.95
2022,1960912,Seia,Concelho,3.º quartil,3.95
2022,1C31204,Campo Maior,Concelho,3.º quartil,3.95
2022,1D1,Oeste,NUTS III,1.º quartil,3.95
2022,2004701,Horta,Concelho,2.º quartil,3.96
2022,1941811,Penalva do Castelo,Concelho,3.º quartil,3.97
2022,1D31404,Alpiarça,Concelho,3.º quartil,3.97
2022,11B1703,Chaves,Concelho,2.º quartil,3.98
2022,1920111,Mealhada,Concelho,2.º quartil,3.98
2022,1C40714,Vila Viçosa,Concelho,3.º quartil,3.98
